Frame_ID,Time,FPS,Pure_Lat_ms,E2E_Lat_ms,Power_mW,Temp_C
0,1774584585.1436794,4.340942786099283,145.05324800029484,230.36470399983955,0,0.0
1,1774584585.1552813,86.86636200699311,10.946848000003229,11.511936000260903,0,0.0
2,1774584585.1701639,67.24406907303558,14.288191999639821,14.87120000001596,0,0.0
3,1774584585.1879034,56.406720432563475,17.231840000022203,17.728383999838115,0,0.0
4,1774584585.2019663,71.15970971358965,13.577887999872473,14.05289600006654,0,0.0
5,1774584585.2134025,87.52765873929573,10.93830399986473,11.42496000011306,0,0.0
6,1774584585.2247398,88.2868120696068,10.871200000110548,11.326719999942725,0,0.0
7,1774584585.2359943,88.91936649678223,10.829024000031495,11.246143999869673,0,0.0
8,1774584585.2472901,88.59894588566834,10.829855999872962,11.286815999937971,0,0.0
9,1774584585.2596855,80.73308222056701,11.942911999994976,12.38649600009012,0,0.0
10,1774584585.2721786,80.10869147254868,12.01926400017328,12.48304000000644,0,0.0
11,1774584585.2834966,88.43522014032501,10.845951999726822,11.307711999961612,0,0.0
12,1774584585.2947464,88.95277675007743,10.82499199992526,11.241919999974925,0,0.0
13,1774584585.3061259,87.93849651715423,10.928032000265375,11.371584000244184,0,0.0
14,1774584585.3173976,88.78421033343652,10.831007999968278,11.26326399980826,0,0.0
15,1774584585.3286278,89.11715555087859,10.799231999953918,11.22118400007821,0,0.0
16,1774584585.3399224,88.60849223738784,10.827007999978377,11.285600000064733,0,0.0
17,1774584585.3512921,88.03263263938473,10.893728000155534,11.359424000147555,0,0.0
18,1774584585.362594,88.5565146419404,10.84848000027705,11.29222400004437,0,0.0
19,1774584585.374054,87.31977199165988,10.990591999870958,11.452159999862488,0,0.0
20,1774584585.3865862,79.85587611491925,12.079488000381389,12.522559999979421,0,0.0
21,1774584585.3980281,87.46518885663326,10.970047999762755,11.43311999976504,0,0.0
22,1774584585.4095607,86.78699278299239,11.032192000129726,11.522463999881438,0,0.0
23,1774584585.4238691,69.94493934307388,13.683168000170554,14.296960000137915,0,0.0
24,1774584585.4365757,78.77747443086817,12.171423999916442,12.693984000179626,0,0.0
25,1774584585.4481575,86.43819323278373,11.045472000205336,11.568960000204243,0,0.0
26,1774584585.4597049,86.68011017619558,10.976927999763575,11.536671999692771,0,0.0
27,1774584585.4744658,67.7993313371805,14.245792000110669,14.749407999715913,12017,0.0
28,1774584585.4858658,87.80630350775222,10.890975999700458,11.38870400018277,12017,0.0
29,1774584585.497288,87.63443121760669,10.921919999873353,11.411039999984496,12017,0.0
30,1774584585.5086243,88.28581437696715,10.852735999833385,11.326847999953316,12017,0.0
31,1774584585.5201132,87.12477103744347,10.934175999864237,11.47779199982324,12017,0.0
32,1774584585.5315173,87.77054392635824,10.932096000033198,11.393343999770877,12017,0.0
33,1774584585.5430043,87.12161340886107,11.015487999884499,11.478207999971346,12017,0.0
34,1774584585.5545068,87.01414780684605,11.029247999886138,11.492383999666345,12017,0.0
35,1774584585.5660627,86.60156076804279,11.065888000302948,11.547135999990132,12017,0.0
36,1774584585.5775852,86.86853524267607,11.03017599962186,11.511648000123387,12017,0.0
37,1774584585.588965,87.95507958035984,10.907392000262917,11.369440000180475,12017,0.0
38,1774584585.6003582,87.8556749134897,10.908608000136155,11.382304000107979,12017,0.0
39,1774584585.6117964,87.51172657178866,10.954048000257899,11.4270399999441,12017,0.0
40,1774584585.6231942,87.81839437109792,10.936768000192387,11.387135999939346,12017,0.0
41,1774584585.6358426,79.18308396065069,12.109984000289842,12.628959999801737,12017,0.0
42,1774584585.6486106,78.38346948923518,12.299584000174946,12.757792000229529,12017,0.0
43,1774584585.6599498,88.2728464243113,10.858655999982147,11.328512000090996,12017,0.0
44,1774584585.6713185,88.03759275567451,10.899839999638061,11.358784000094602,12017,0.0
45,1774584585.6826768,88.11181318350665,10.882752000270557,11.349216000326123,12017,0.0
46,1774584585.6940894,87.68680797754452,10.946048000278097,11.404223999761598,12017,0.0
47,1774584585.7054684,87.95928821919776,10.910272000273835,11.368896000021778,12017,0.0
48,1774584585.7167873,88.41370256811436,10.856415999569435,11.31046399996194,12017,0.0
49,1774584585.7281525,88.04801082123097,10.900000000219734,11.357439999756025,12017,0.0
50,1774584585.7395453,87.84382071597084,10.918431999925815,11.38383999978032,12017,0.0
51,1774584585.7509167,88.01725983193076,10.902335999617208,11.361408000084339,12017,0.0
52,1774584585.7623456,87.57868068659789,10.965536000185239,11.418304000017088,12017,0.0
53,1774584585.773723,87.96275445701511,10.934848000033526,11.368448000212084,12017,0.0
54,1774584585.78506,88.28332024224508,10.857887999918603,11.327168000207166,12017,0.0
55,1774584585.7964396,87.95309918420543,10.927552000339347,11.369696000201657,12017,0.0
56,1774584585.8077614,88.39869651079033,10.859103999791841,11.312383999666054,12017,0.0
57,1774584585.819172,87.71634358711107,10.916352000094776,11.40038400035337,12017,0.0
58,1774584585.8317246,79.73321902790677,12.070304000189935,12.541823999981716,12017,0.0
59,1774584585.8430746,88.19138518379923,10.909535999871878,11.33897599993361,12017,0.0
60,1774584585.8544106,88.28356965362893,10.888639999848237,11.327135999636084,12017,0.0
61,1774584585.8670104,79.42357545916272,12.130816000080813,12.590719999934663,12017,0.0
62,1774584585.879574,79.65964302119735,12.088544000107504,12.55340800025806,12017,0.0
63,1774584585.8920581,80.15759624645366,12.008480000076815,12.47542400005841,12017,0.0
64,1774584585.903386,88.34721444779142,10.845471999800793,11.318975999984104,12017,0.0
65,1774584585.9160714,78.88665061180117,12.23427199965954,12.676415999976598,12017,0.0
66,1774584585.9285295,80.33274465298653,12.003935999928217,12.448224000308983,12017,0.0
67,1774584585.9398847,88.13343260873708,10.911840000062512,11.346431999754714,12017,0.0
68,1774584585.9513187,87.52863937001707,10.93062399968403,11.42483200010247,12017,0.0
69,1774584585.9627364,87.6624560642684,10.957215999951586,11.407391999910033,12017,0.0
70,1774584585.9747195,83.52376752440342,11.527583999850322,11.972639999839885,14423,0.0
71,1774584585.986135,87.66147243283012,10.964223999962996,11.407519999920623,14423,0.0
72,1774584585.9974847,88.18665658382567,10.889279999901191,11.339583999870229,14423,0.0
73,1774584586.0088258,88.24766955540724,10.88195199963593,11.331744000017352,14423,0.0
74,1774584586.0202045,87.97092596076834,10.888767999858828,11.367392000011023,14423,0.0
75,1774584586.031578,87.99445845844483,10.90844800000923,11.364352000327926,14423,0.0
76,1774584586.0429618,87.91004762630016,10.862399999950867,11.375263999980234,14423,0.0
77,1774584586.054328,88.03858484600677,10.92934400003287,11.35865600008401,14423,0.0
78,1774584586.065683,88.14337613025127,10.902815999997983,11.345152000103553,14423,0.0
79,1774584586.0770187,88.29180087106327,10.88073600021744,11.326079999889771,14423,0.0
80,1774584586.088348,88.34546611154593,10.89302399986991,11.319199999888951,14423,0.0
81,1774584586.0996616,88.45950253526449,10.835168000085105,11.304607999591099,14423,0.0
82,1774584586.1110485,87.8887848287178,10.950719999982539,11.378015999980562,14423,0.0
83,1774584586.1225276,87.1908908536498,11.030527999992046,11.469088000012562,14423,0.0
84,1774584586.133845,88.41695455017106,10.888255999816465,11.31004800026858,14423,0.0
85,1774584586.145291,87.4316634135077,11.015999999926862,11.437503999786713,14423,0.0
86,1774584586.156577,88.67059371008453,10.857471999770496,11.277695999979187,14423,0.0
87,1774584586.1678646,88.6489614598477,10.85056000010809,11.280447999979515,14423,0.0
88,1774584586.1793146,87.39303093031201,10.977760000059789,11.442559999977675,14423,0.0
89,1774584586.190623,88.49933448705238,10.872319999634783,11.29951999973855,14423,0.0
90,1774584586.2017639,89.82182224615885,10.707840000122815,11.133152000184054,14423,0.0
91,1774584586.2129848,89.18226286194783,10.784319999856962,11.212991999855149,14423,0.0
92,1774584586.224184,89.37023299126226,10.76150399967446,11.18940800006385,14423,0.0
93,1774584586.2353528,89.59802741087134,10.699200000090059,11.160959999870101,14423,0.0
94,1774584586.2465522,89.36077734011012,10.757535999800893,11.190591999820754,14423,0.0
95,1774584586.257788,89.08209806346642,10.789248000037333,11.22559999976147,14423,0.0
96,1774584586.2689157,89.92961029275652,10.684960000162391,11.119808000330522,14423,0.0
97,1774584586.2800255,90.07892354828034,10.675584000182425,11.101376000169694,14423,0.0
98,1774584586.2911067,90.30304256194405,10.657407999588031,11.073824000050081,14423,0.0
99,1774584586.3023248,89.207466592303,10.766112000055728,11.209824000161461,14423,0.0
100,1774584586.3134577,89.90244506033144,10.689824000110093,11.123167999812722,14423,0.0
101,1774584586.3245943,89.86960997998679,10.688415999993595,11.127232000035292,14423,0.0
102,1774584586.3357675,89.56644110553098,10.725311999976839,11.164895999627333,14423,0.0
103,1774584586.3470867,88.41720471363956,10.863871999845287,11.310016000152245,14423,0.0
104,1774584586.3582656,89.51564160575889,10.733952000009594,11.171231999924203,14423,0.0
105,1774584586.3695204,88.91810144917854,10.808447999806958,11.246303999996599,14423,0.0
106,1774584586.3806586,89.85100546686765,10.688895999919623,11.129536000225926,14423,0.0
107,1774584586.391781,89.97077749128276,10.689088000162883,11.114720000023226,14423,0.0
108,1774584586.4028997,90.00109441286655,10.678591999749187,11.110976000054507,14423,0.0
109,1774584586.4140763,89.54488276188073,10.731999999734398,11.16758399984974,14423,0.0
110,1774584586.425286,89.27857200002451,10.778047999792761,11.20089599999119,14423,0.0
111,1774584586.4364247,89.84454737075298,10.70934400013357,11.130335999951058,14423,0.0
112,1774584586.4475842,89.68648475004805,10.685248000299907,11.14995199986879,14423,0.0
113,1774584586.4598641,81.49969877787133,11.816543999884743,12.26998399988588,14423,0.0
114,1774584586.4710252,89.67104356986168,10.695167999983823,11.151872000027652,14423,0.0
115,1774584586.4824884,87.3012325532361,10.837503999937326,11.454592000063712,15440,0.0
116,1774584586.4936628,89.5574571982103,10.71542399995451,11.166016000061063,15440,0.0
117,1774584586.5047948,89.91537883941349,10.684767999919131,11.121567999907711,15440,0.0
118,1774584586.5159035,90.10229854438782,10.674944000129472,11.098496000158775,15440,0.0
119,1774584586.5270066,90.14570430616095,10.674655999991955,11.093151999830297,15440,0.0
120,1774584586.538139,89.89675537359285,10.70707200005927,11.123872000098345,15440,0.0
121,1774584586.549244,90.1184083810278,10.6850559996019,11.096511999767245,15440,0.0
122,1774584586.5603166,90.37825831907385,10.638592000304925,11.064607999742293,15440,0.0
